"Tm","Pos","Player","G","GS","MP"
"DEN","PG","Jamal Murray",26,26,34.9
"OKC","C","Mike Muscala",26,0,19
"DET","SF","Sviatoslav Mykhailiuk",27,0,15.4
"PHO","SF","Abdel Nader",12,0,14.3
"CLE","PF","Larry Nance Jr.",19,18,33.4
"BOS","SF","Aaron Nesmith",13,0,14.7
"WAS","PG","Raul Neto",21,6,18.9
"UTA","PF","Georges Niang",29,0,13.1
"DEN","PF","Zeke Nnaji",15,0,7.5
"NYK","C","Nerlens Noel",25,3,19
"MIN","SG","Jaylen Nowell",15,0,15.7
"NYK","PG","Frank Ntilikina",4,0,10.5
"MIA","PG","Kendrick Nunn",20,8,28.4
"POR","C","Jusuf Nurkić",12,12,23.3
"HOU","SF","David Nwaba",24,9,23.3
"MIL","SF","Jordan Nwora",10,0,8.2
"UTA","SF","Royce O'Neale",29,29,32.6
"BOS","PF","Semi Ojeleye",27,6,19.6
"DET","C","Jahlil Okafor",12,0,10
"ORL","PF","Chuma Okeke",13,0,21.7
"MIN","SG","Josh Okogie",23,18,20.3
"ATL","C","Onyeka Okongwu",9,1,10.3
"CLE","SG","Isaac Okoro",24,24,33
"MIA","PF","KZ Okpala",14,5,12
"TOT","SG","Victor Oladipo",20,20,32
"IND","SG","Victor Oladipo",9,9,33.3
"HOU","SG","Victor Oladipo",11,11,30.9
"MIA","C","Kelly Olynyk",27,22,26
"UTA","SG","Miye Oni",23,0,8
"CLE","SF","Cedi Osman",29,13,26.4
"LAC","C","Daniel Oturu",10,0,4.2
"GSW","SF","Kelly Oubre Jr.",29,29,29.4
"GSW","PF","Eric Paschall",26,2,17.7
"WAS","C","Anžejs Pasečņiks",1,0,6
"LAC","PF","Patrick Patterson",10,1,13
"PHO","PG","Chris Paul",26,26,32.4
"PHO","PG","Cameron Payne",16,0,17.2
"NYK","PG","Elfrid Payton",30,30,27.7
"BRK","F-C","Norvel Pelle",3,0,9.3
"BRK","PF","Reggie Perry",14,0,10.5
"NYK","SG","Theo Pinson",9,0,2.3
"DET","C","Mason Plumlee",26,26,27.9
"SAS","C","Jakob Poeltl",27,9,22.2
"PHI","C","Vincent Poirier",4,0,4.5
"OKC","PF","Aleksej Pokusevski",17,0,17.4
"GSW","SG","Jordan Poole",15,0,9.5
"DEN","SF","Michael Porter Jr.",18,11,27
"CHI","SF","Otto Porter",16,6,23.3
"MIL","C","Bobby Portis",28,1,21.8
"DAL","C","Kristaps Porziņģis",17,17,29.9
"DAL","C","Dwight Powell",17,6,16.3
"TOR","SG","Norman Powell",26,15,28.3
"TOT","PF","Taurean Prince",27,10,21.9
"BRK","PF","Taurean Prince",12,4,18.2
"CLE","PF","Taurean Prince",15,6,24.9
"BOS","SG","Payton Pritchard",22,1,21.5
"NYK","PG","Immanuel Quickley",26,0,19.4
"SAC","SG","Jahmi'us Ramsey",4,0,4
"ORL","G","Chasson Randle",1,0,19
"NYK","PF","Julius Randle",30,30,36.7
"ATL","SF","Cam Reddish",24,19,28.8
"NOP","SG","J.J. Redick",25,0,18.2
"PHI","PF","Paul Reed",5,0,11
"MIN","C","Naz Reid",27,13,21.5
"CHO","PF","Nick Richards",8,0,2.9
"DAL","SG","Josh Richardson",19,19,31.6
"NYK","SG","Austin Rivers",21,2,21
"MIA","SF","Duncan Robinson",28,28,33.3
"SAC","SF","Glenn Robinson III",22,1,15.7
"WAS","SG","Jerome Robinson",13,3,17
"NYK","C","Mitchell Robinson",27,27,28.8
"OKC","PF","Isaiah Roby",22,9,20.2
"ATL","PG","Rajon Rondo",14,2,15.3
"TOT","PG","Derrick Rose",20,0,22.3
"DET","PG","Derrick Rose",15,0,22.8
"NYK","G","Derrick Rose",5,0,20.6
"ORL","SG","Terrence Ross",28,1,28.8
"CHO","SG","Terry Rozier",26,26,33.3
"MIN","PG","Ricky Rubio",27,12,25.1
"MIN","PG","D'Angelo Russell",20,19,29.2
"IND","PF","Domantas Sabonis",29,29,36.4
"SAS","PF","Luka Šamanić",4,0,2.8
"IND","PF","JaKarr Sampson",13,0,6
"PHO","PF","Dario Šarić",10,0,18.1
"CHI","SG","Tomáš Satoranský",16,0,20
"LAL","SG","Dennis Schröder",29,29,31.1
"PHI","PF","Mike Scott",11,3,17.5
"CLE","SG","Collin Sexton",24,24,35.3
"BRK","SG","Landry Shamet",26,0,19
"TOR","PF","Pascal Siakam",25,25,35.8
"MIA","PF","Chris Silva",6,0,8.8
"PHI","PG","Ben Simmons",25,25,33.4
"POR","SG","Anfernee Simons",25,0,17.9
"DET","SG","Deividas Sirvydis",4,0,1.3
"BOS","PG","Marcus Smart",17,17,32.3
"TOT","PG","Dennis Smith Jr.",7,0,12.1
"NYK","PG","Dennis Smith Jr.",3,0,9.3
"DET","G","Dennis Smith Jr.",4,0,14.3
"WAS","PG","Ish Smith",19,1,20.6
"PHO","PF","Jalen Smith",8,0,6.3
"ATL","SG","Tony Snell",15,0,12.9
"HOU","F","Ray Spalding",2,0,9.5
"IND","SG","Cassius Stanley",8,0,2.9
"CLE","PF","Lamar Stevens",18,0,14.7
"DET","C","Isaiah Stewart",26,2,17.9
"MIA","SF","Max Strus",16,0,14.7
"IND","SG","Edmond Sumner",16,4,9.4
"HOU","SF","Jae'Sean Tate",28,18,27.3
"BOS","SF","Jayson Tatum",23,23,35.2
"BOS","PG","Jeff Teague",23,3,17.3
"CHI","SG","Garrett Temple",26,5,27.5
"DAL","PG","Tyrell Terry",11,0,5.1
"BOS","C","Daniel Theis",26,21,24
"HOU","SG","Brodric Thomas",4,0,6
"TOR","SG","Matt Thomas",14,0,6
"BOS","PF","Tristan Thompson",26,21,22.5
"NOP","SG","Sindarius Thornwell",10,1,5.1
"PHI","SG","Matisse Thybulle",26,1,17.7
"MEM","PF","Xavier Tillman Sr.",19,6,21.2
"NYK","PF","Obi Toppin",20,0,12
"GSW","SG","Juan Toscano-Anderson",16,10,21.8
"MIN","C","Karl-Anthony Towns",9,9,33.1
"POR","SG","Gary Trent Jr.",26,13,30.2
"HOU","PF","P.J. Tucker",26,26,30
"IND","C","Myles Turner",27,27,31.2
"MEM","C","Jonas Valančiūnas",19,18,27.5
"CHI","SG","Denzel Valentine",23,3,20.1
"MIN","PF","Jarred Vanderbilt",27,10,19.1
"TOR","SG","Fred VanVleet",28,28,36.4
"SAS","SF","Devin Vassell",26,1,17.3
"MIA","PG","Gabe Vincent",18,5,16.2
"BRK","F","Noah Vonleh",3,0,2.7
"ORL","C","Nikola Vučević",29,29,33.6
"CLE","PF","Dean Wade",23,0,8.3
"WAS","C","Moritz Wagner",14,3,13.6
"BOS","PG","Kemba Walker",13,13,28
"SAS","SG","Lonnie Walker",25,22,26.6
"HOU","PG","John Wall",19,19,31.1
"GSW","PG","Brad Wanamaker",29,0,16
"IND","SF","T.J. Warren",4,4,29.3
"CHO","PF","P.J. Washington",24,24,28.8
"TOR","SF","Yuta Watanabe",18,0,12.4
"BOS","PG","Tremont Waters",9,1,10
"TOR","SF","Paul Watson",13,0,3.2
"SAS","SG","Quinndary Weatherspoon",5,0,4.8
"WAS","PG","Russell Westbrook",19,19,33.2
"CHI","PG","Coby White",27,27,33.5
"SAS","SG","Derrick White",8,4,23.6
"SAC","C","Hassan Whiteside",20,0,14.8
"GSW","PF","Andrew Wiggins",29,29,32.2
"BOS","PF","Grant Williams",24,6,19.3
"OKC","PF","Kenrich Williams",28,6,18.3
"LAC","PG","Lou Williams",28,3,22.4
"CHI","PF","Patrick Williams",26,26,27.7
"BOS","C","Robert Williams",21,0,15.1
"NOP","PF","Zion Williamson",27,27,32.6
"MIL","PF","D.J. Wilson",10,0,9.4
"CLE","SF","Dylan Windler",15,0,17.5
"WAS","PG","Cassius Winston",6,0,7.3
"GSW","C","James Wiseman",20,16,21
"HOU","C","Christian Wood",17,17,31.2
"SAC","SF","Robert Woodard",6,0,2.8
"DET","SG","Delon Wright",28,23,29.4
"CHI","PF","Thaddeus Young",23,0,25.7
"ATL","PG","Trae Young",26,26,34.7
"CHO","C","Cody Zeller",15,12,24.1
"LAC","C","Ivica Zubac",30,1,19.5
